デイリー広告管理シート【2026年5月】,,,,,,,,,,,,,
期間,,"IMP

表示回数","CT

クリック数","CTR

クリック率","CPC

クリック単価","CPM

1,000回
表示単価","CV
獲得数",,"CPA
リスト獲得単価",,"CVR

獲得率","COST

広告費",備考
,,,,,,,,,,,,,
,,,,,,,"媒体
CV",実CV,"媒体
CPA",実CPA,,,
区切,日付,,,,,,,,,,,,
1週目,5/01～07,"7,663",160,2.1%,¥188,"¥3,923",9,2,"¥3,340","¥15,031",5.6%,"¥30,062",
2週目,5/08～14,264,10,3.8%,¥189,"¥7,148",0,0,-,-,0.0%,"¥1,887",
3週目,5/15～21,0,0,-,-,-,0,0,-,-,-,¥0,
4週目,5/22～28,0,0,-,-,-,0,0,-,-,-,¥0,
5週目,5/29～30,0,0,-,-,-,0,0,-,-,-,¥0,
,合計,"7,927",170,2.1%,¥188,"¥4,030",9,2,"¥3,550","¥15,975",5.3%,"¥31,949",
,,,,,,,,,,,,,
曜日,日付,"IMP

表示回数","CT

クリック数","CTR

クリック率","CPC

クリック単価","CPM

1,000回
表示単価","CV
獲得数",,"CPA
リスト獲得単価",,"CVR

獲得率","COST

広告費",備考
,,,,,,,,,,,,,
,,,,,,,"媒体
CV",実CV,"媒体
CPA",実CPA,,,
,,,,,,,,,,,,,
金,5/1,,,-,-,-,,,-,-,-,,
土,5/2,,,-,-,-,,,-,-,-,,
日,5/3,"4,253",60,1.4%,¥163,"¥2,303",4,1,"¥2,448","¥9,793",6.7%,"¥9,793",
月,5/4,"2,147",50,2.3%,¥226,"¥5,254",3,0,"¥3,760",-,6.0%,"¥11,280",
火,5/5,450,16,3.6%,¥208,"¥7,393",1,,"¥3,327",-,6.3%,"¥3,327",
水,5/6,373,16,4.3%,¥175,"¥7,504",0,,¥0,-,0.0%,"¥2,799",
木,5/7,440,18,4.1%,¥159,"¥6,507",1,1,"¥2,863","¥2,863",5.6%,"¥2,863",
金,5/8,264,10,3.8%,¥189,"¥7,148",0,,¥0,-,0.0%,"¥1,887",
土,5/9,,,-,-,-,,,-,-,-,,
日,5/10,,,-,-,-,,,-,-,-,,
月,5/11,,,-,-,-,,,-,-,-,,
火,5/12,,,-,-,-,,,-,-,-,,
水,5/13,,,-,-,-,,,-,-,-,,
木,5/14,,,-,-,-,,,-,-,-,,
金,5/15,,,-,-,-,,,-,-,-,,
土,5/16,,,-,-,-,,,-,-,-,,
日,5/17,,,-,-,-,,,-,-,-,,
月,5/18,,,-,-,-,,,-,-,-,,
火,5/19,,,-,-,-,,,-,-,-,,
水,5/20,,,-,-,-,,,-,-,-,,
木,5/21,,,-,-,-,,,-,-,-,,
金,5/22,,,-,-,-,,,-,-,-,,
土,5/23,,,-,-,-,,,-,-,-,,
日,5/24,,,-,-,-,,,-,-,-,,
月,5/25,,,-,-,-,,,-,-,-,,
火,5/26,,,-,-,-,,,-,-,-,,
水,5/27,,,-,-,-,,,-,-,-,,
木,5/28,,,-,-,-,,,-,-,-,,
金,5/29,,,-,-,-,,,-,-,-,,
土,5/30,,,-,-,-,,,-,-,-,,
日,5/31,,,-,-,-,,,-,-,-,,
,,"7,927",170,2.1%,¥188,"¥4,030",9,2,"¥3,550","¥15,975",5.3%,"¥31,949",
